"(-30, 28)",2.58
"(-30, 29)",4.82
"(-30, 30)",5.66
"(-30, 31)",6.69
"(-30, 32)",9.4
"(-30, 33)",10.77
"(-30, 34)",12.79
"(-30, 35)",12.31
"(-30, 36)",11.64
"(-30, 37)",12.14
"(-30, 38)",13.3
"(-30, 39)",14.65
"(-30, 40)",15.07
"(-30, 41)",15.37
"(-30, 42)",14.8
"(-30, 43)",14.01
"(-30, 44)",12.5
"(-30, 45)",12.07
"(-30, 46)",12.37
"(-30, 47)",10.84
"(-30, 48)",10.59
"(-30, 49)",8.35
"(-30, 50)",14.38
"(-30, 51)",17.95
"(-30, 52)",19.85
"(-30, 53)",18.39
"(-30, 54)",16.15
"(-30, 55)",14.79
"(-30, 56)",12.83
"(-30, 57)",11.71
"(-30, 58)",10.34
"(-30, 59)",8.3
"(-30, 60)",6.5
"(-30, 61)",5.27
"(-30, 62)",1.44
"(-30, 63)",3.44
"(-30, 64)",6.8
"(-30, 65)",5.68
"(-30, 66)",6.4
"(-30, 67)",3
"(-30, 68)",0.8
"(-30, 69)",2.21
"(-30, 70)",4.58
"(-30, 71)",5.59
"(-30, 72)",4.54
"(-29, 28)",2.8
"(-29, 29)",3.6
"(-29, 30)",4.92
"(-29, 31)",6.75
"(-29, 32)",9.25
"(-29, 33)",9.91
"(-29, 34)",10.95
"(-29, 35)",13.59
"(-29, 36)",14.95
"(-29, 37)",12.17
"(-29, 38)",12.36
"(-29, 39)",13.19
"(-29, 40)",14.16
"(-29, 41)",14.47
"(-29, 42)",15.04
"(-29, 43)",13.25
"(-29, 44)",12.13
"(-29, 45)",11.15
"(-29, 46)",11.04
"(-29, 47)",11.27
"(-29, 48)",12.89
"(-29, 49)",17.37
"(-29, 50)",16.11
"(-29, 51)",19
"(-29, 52)",19.24
"(-29, 53)",17.53
"(-29, 54)",15.06
"(-29, 55)",13.36
"(-29, 56)",12.05
"(-29, 57)",10.83
"(-29, 58)",9.25
"(-29, 59)",7.39
"(-29, 60)",5.76
"(-29, 61)",3.49
"(-29, 62)",2.31
"(-29, 63)",2.19
"(-29, 64)",3.69
"(-29, 65)",5.6
"(-29, 66)",7.88
"(-29, 67)",3.63
"(-29, 68)",1.11
"(-29, 69)",3.82
"(-29, 70)",4.88
"(-29, 71)",3.63
"(-29, 72)",3.8
"(-28, 28)",3.05
"(-28, 29)",3.38
"(-28, 30)",4.34
"(-28, 31)",5.12
"(-28, 32)",7.92
"(-28, 33)",9.81
"(-28, 34)",10.37
"(-28, 35)",12.49
"(-28, 36)",14.25
"(-28, 37)",15.69
"(-28, 38)",12.34
"(-28, 39)",11.83
"(-28, 40)",11.2
"(-28, 41)",12.17
"(-28, 42)",13.68
"(-28, 43)",12.98
"(-28, 44)",13.14
"(-28, 45)",15.49
"(-28, 46)",13.29
"(-28, 47)",14.51
"(-28, 48)",16.05
"(-28, 49)",16.77
"(-28, 50)",17.24
"(-28, 51)",19.44
"(-28, 52)",18.91
"(-28, 53)",16.47
"(-28, 54)",13.93
"(-28, 55)",11.64
"(-28, 56)",11.07
"(-28, 57)",10.58
"(-28, 58)",9.11
"(-28, 59)",6.64
"(-28, 60)",6.15
"(-28, 61)",3.75
"(-28, 62)",2.53
"(-28, 63)",0.92
"(-28, 64)",3.47
"(-28, 65)",4.06
"(-28, 66)",8.63
"(-28, 67)",3.84
"(-28, 68)",1.74
"(-28, 69)",3.66
"(-28, 70)",3.16
"(-28, 71)",2.95
"(-28, 72)",3.67
"(-27, 28)",3.17
"(-27, 29)",2.83
"(-27, 30)",3.52
"(-27, 31)",4.61
"(-27, 32)",6.06
"(-27, 33)",8.7
"(-27, 34)",10.16
"(-27, 35)",11.68
"(-27, 36)",12.62
"(-27, 37)",13.95
"(-27, 38)",15.7
"(-27, 39)",15.86
"(-27, 40)",10.09
"(-27, 41)",12.84
"(-27, 42)",15.49
"(-27, 43)",12.4
"(-27, 44)",6.25
"(-27, 45)",15.99
"(-27, 46)",15.2
"(-27, 47)",14.46
"(-27, 48)",15.7
"(-27, 49)",16.96
"(-27, 50)",18.71
"(-27, 51)",18.77
"(-27, 52)",17.85
"(-27, 53)",15.31
"(-27, 54)",12.51
"(-27, 55)",10.4
"(-27, 56)",10.51
"(-27, 57)",10.18
"(-27, 58)",8.2
"(-27, 59)",7.35
"(-27, 60)",5.87
"(-27, 61)",5.93
"(-27, 62)",4.36
"(-27, 63)",3.61
"(-27, 64)",4.91
"(-27, 65)",6.34
"(-27, 66)",8.19
"(-27, 67)",4.16
"(-27, 68)",2.13
"(-27, 69)",4.31
"(-27, 70)",4.57
"(-27, 71)",1.76
"(-27, 72)",2.05
"(-26, 28)",2.32
"(-26, 29)",1.89
"(-26, 30)",1.45
"(-26, 31)",3.01
"(-26, 32)",4.52
"(-26, 33)",6.62
"(-26, 34)",8.85
"(-26, 35)",10.82
"(-26, 36)",11.99
"(-26, 37)",13.18
"(-26, 38)",15.02
"(-26, 39)",15.42
"(-26, 40)",16.41
"(-26, 41)",17.18
"(-26, 42)",17.47
"(-26, 43)",16.82
"(-26, 44)",16.28
"(-26, 45)",16.56
"(-26, 46)",15.77
"(-26, 47)",15.89
"(-26, 48)",16
"(-26, 49)",16.98
"(-26, 50)",17.64
"(-26, 51)",17.98
"(-26, 52)",16.52
"(-26, 53)",13.7
"(-26, 54)",10.56
"(-26, 55)",9
"(-26, 56)",11.06
"(-26, 57)",9.23
"(-26, 58)",6.65
"(-26, 59)",7.08
"(-26, 60)",6.78
"(-26, 61)",5.95
"(-26, 62)",5.2
"(-26, 63)",6.44
"(-26, 64)",7.91
"(-26, 65)",7.78
"(-26, 66)",8.37
"(-26, 67)",6.88
"(-26, 68)",2.89
"(-26, 69)",4.02
"(-26, 70)",2.53
"(-26, 71)",4.46
"(-26, 72)",2.8
"(-25, 28)",2.93
"(-25, 29)",2.18
"(-25, 30)",0.72
"(-25, 31)",1.46
"(-25, 32)",2.8
"(-25, 33)",4.14
"(-25, 34)",7.15
"(-25, 35)",9.49
"(-25, 36)",11.15
"(-25, 37)",11.32
"(-25, 38)",13.31
"(-25, 39)",14.17
"(-25, 40)",15.21
"(-25, 41)",16.66
"(-25, 42)",17.59
"(-25, 43)",16.65
"(-25, 44)",15.89
"(-25, 45)",16.41
"(-25, 46)",16.63
"(-25, 47)",16.7
"(-25, 48)",17.22
"(-25, 49)",17.73
"(-25, 50)",16.87
"(-25, 51)",17.53
"(-25, 52)",15.06
"(-25, 53)",12.47
"(-25, 54)",8.74
"(-25, 55)",8.75
"(-25, 56)",9.3
"(-25, 57)",7.85
"(-25, 58)",3.97
"(-25, 59)",9.57
"(-25, 60)",7.97
"(-25, 61)",6.91
"(-25, 62)",6.92
"(-25, 63)",9.12
"(-25, 64)",11.47
"(-25, 65)",8.94
"(-25, 66)",7.93
"(-25, 67)",7.26
"(-25, 68)",3.44
"(-25, 69)",1.84
"(-25, 70)",2.37
"(-25, 71)",1.22
"(-25, 72)",1.8
"(-24, 28)",3.99
"(-24, 29)",2.58
"(-24, 30)",2.52
"(-24, 31)",1.17
"(-24, 32)",3.05
"(-24, 33)",3.31
"(-24, 34)",5.25
"(-24, 35)",7.51
"(-24, 36)",9.86
"(-24, 37)",11.27
"(-24, 38)",12.4
"(-24, 39)",13.6
"(-24, 40)",14.46
"(-24, 41)",15.24
"(-24, 42)",15.88
"(-24, 43)",15.65
"(-24, 44)",15.67
"(-24, 45)",16.53
"(-24, 46)",16.06
"(-24, 47)",16.89
"(-24, 48)",17.1
"(-24, 49)",16.9
"(-24, 50)",15.71
"(-24, 51)",15.17
"(-24, 52)",13.2
"(-24, 53)",10.88
"(-24, 54)",8.24
"(-24, 55)",8.18
"(-24, 56)",8.59
"(-24, 57)",6.56
"(-24, 58)",1.91
"(-24, 59)",6.04
"(-24, 60)",8.64
"(-24, 61)",7.54
"(-24, 62)",8.76
"(-24, 63)",11.87
"(-24, 64)",10.65
"(-24, 65)",7.21
"(-24, 66)",7.59
"(-24, 67)",7.44
"(-24, 68)",4.53
"(-24, 69)",2.56
"(-24, 70)",2.27
"(-24, 71)",2.18
"(-24, 72)",2.83
"(-23, 28)",5.15
"(-23, 29)",4.34
"(-23, 30)",4.43
"(-23, 31)",4.37
"(-23, 32)",4.03
"(-23, 33)",5.1
"(-23, 34)",6.13
"(-23, 35)",7.19
"(-23, 36)",8.58
"(-23, 37)",10.33
"(-23, 38)",11.24
"(-23, 39)",12.23
"(-23, 40)",13.22
"(-23, 41)",14.09
"(-23, 42)",14.74
"(-23, 43)",15.1
"(-23, 44)",15.49
"(-23, 45)",15.66
"(-23, 46)",15.67
"(-23, 47)",16
"(-23, 48)",16.78
"(-23, 49)",16.11
"(-23, 50)",14.73
"(-23, 51)",13.07
"(-23, 52)",11.21
"(-23, 53)",9.93
"(-23, 54)",8.29
"(-23, 55)",7.59
"(-23, 56)",8.67
"(-23, 57)",6.24
"(-23, 58)",2.52
"(-23, 59)",1.99
"(-23, 60)",8.25
"(-23, 61)",8.13
"(-23, 62)",10.96
"(-23, 63)",13.83
"(-23, 64)",7.2
"(-23, 65)",6.75
"(-23, 66)",3.7
"(-23, 67)",7.17
"(-23, 68)",5
"(-23, 69)",3.58
"(-23, 70)",2.81
"(-23, 71)",0.5
"(-23, 72)",2.04
"(-22, 28)",5.53
"(-22, 29)",5.5
"(-22, 30)",5.74
"(-22, 31)",6.22
"(-22, 32)",5.9
"(-22, 33)",5.79
"(-22, 34)",6.6
"(-22, 35)",7.55
"(-22, 36)",7.75
"(-22, 37)",9.06
"(-22, 38)",10.14
"(-22, 39)",10.99
"(-22, 40)",12.01
"(-22, 41)",12.61
"(-22, 42)",13.65
"(-22, 43)",14.13
"(-22, 44)",14.17
"(-22, 45)",14.58
"(-22, 46)",15.5
"(-22, 47)",15.57
"(-22, 48)",15.88
"(-22, 49)",15.08
"(-22, 50)",13.23
"(-22, 51)",12.07
"(-22, 52)",9.85
"(-22, 53)",7.85
"(-22, 54)",6.57
"(-22, 55)",6.6
"(-22, 56)",7.43
"(-22, 57)",5.69
"(-22, 58)",2.2
"(-22, 59)",3.26
"(-22, 60)",8.75
"(-22, 61)",8.4
"(-22, 62)",11.28
"(-22, 63)",12.2
"(-22, 64)",8.75
"(-22, 65)",2.61
"(-22, 66)",5.1
"(-22, 67)",6.98
"(-22, 68)",5.62
"(-22, 69)",5.25
"(-22, 70)",3.39
"(-22, 71)",2.47
"(-22, 72)",0.65
"(-21, 28)",6.28
"(-21, 29)",6.83
"(-21, 30)",7.36
"(-21, 31)",7.65
"(-21, 32)",7.09
"(-21, 33)",6.54
"(-21, 34)",6.74
"(-21, 35)",7.31
"(-21, 36)",7.56
"(-21, 37)",8.47
"(-21, 38)",9.53
"(-21, 39)",10.3
"(-21, 40)",11.27
"(-21, 41)",12.38
"(-21, 42)",13.13
"(-21, 43)",13.24
"(-21, 44)",13.06
"(-21, 45)",13.28
"(-21, 46)",14.71
"(-21, 47)",15.02
"(-21, 48)",14.38
"(-21, 49)",12.8
"(-21, 50)",11.54
"(-21, 51)",10.91
"(-21, 52)",8.64
"(-21, 53)",6.05
"(-21, 54)",5.47
"(-21, 55)",8.1
"(-21, 56)",7.53
"(-21, 57)",5.36
"(-21, 58)",1.86
"(-21, 59)",3.07
"(-21, 60)",8.08
"(-21, 61)",8.85
"(-21, 62)",11.21
"(-21, 63)",11.86
"(-21, 64)",5.39
"(-21, 65)",1.92
"(-21, 66)",9.85
"(-21, 67)",6.49
"(-21, 68)",5.35
"(-21, 69)",5.68
"(-21, 70)",3.28
"(-21, 71)",2.5
"(-21, 72)",1.85
"(-20, 28)",6.39
"(-20, 29)",7.01
"(-20, 30)",8.12
"(-20, 31)",8.99
"(-20, 32)",9.28
"(-20, 33)",8.11
"(-20, 34)",6.54
"(-20, 35)",7.01
"(-20, 36)",6.74
"(-20, 37)",6.98
"(-20, 38)",8.87
"(-20, 39)",10.49
"(-20, 40)",11.27
"(-20, 41)",11.56
"(-20, 42)",11.97
"(-20, 43)",12.06
"(-20, 44)",11.78
"(-20, 45)",13.14
"(-20, 46)",13.88
"(-20, 47)",13.41
"(-20, 48)",13.3
"(-20, 49)",10.69
"(-20, 50)",9.49
"(-20, 51)",8.7
"(-20, 52)",6.51
"(-20, 53)",4.47
"(-20, 54)",5.48
"(-20, 55)",8.86
"(-20, 56)",8.17
"(-20, 57)",1.69
"(-20, 58)",2
"(-20, 59)",4.87
"(-20, 60)",9.46
"(-20, 61)",8.49
"(-20, 62)",11.57
"(-20, 63)",12.99
"(-20, 64)",2.56
"(-20, 65)",1.94
"(-20, 66)",5.45
"(-20, 67)",8.65
"(-20, 68)",5.51
"(-20, 69)",5.62
"(-20, 70)",3.38
"(-20, 71)",2.87
"(-20, 72)",1.78
"(-19, 28)",5.56
"(-19, 29)",8.33
"(-19, 30)",7.67
"(-19, 31)",7.49
"(-19, 32)",8.37
"(-19, 33)",8.24
"(-19, 34)",7.28
"(-19, 35)",6.13
"(-19, 36)",6.35
"(-19, 37)",6.51
"(-19, 38)",8.38
"(-19, 39)",10.12
"(-19, 40)",10.11
"(-19, 41)",10.55
"(-19, 42)",11.2
"(-19, 43)",10.85
"(-19, 44)",11.76
"(-19, 45)",12.68
"(-19, 46)",12.36
"(-19, 47)",11.52
"(-19, 48)",11.19
"(-19, 49)",9.1
"(-19, 50)",8.68
"(-19, 51)",6.71
"(-19, 52)",4.56
"(-19, 53)",3.88
"(-19, 54)",6.2
"(-19, 55)",9.7
"(-19, 56)",8.12
"(-19, 57)",6.7
"(-19, 58)",1.41
"(-19, 59)",5.1
"(-19, 60)",6.64
"(-19, 61)",8.54
"(-19, 62)",11.15
"(-19, 63)",13.97
"(-19, 64)",5.6
"(-19, 65)",3.39
"(-19, 66)",1.99
"(-19, 67)",9.94
"(-19, 68)",7.62
"(-19, 69)",5.34
"(-19, 70)",3.61
"(-19, 71)",2.93
"(-19, 72)",2.15
"(-18, 28)",8.67
"(-18, 29)",10.09
"(-18, 30)",8.69
"(-18, 31)",8.17
"(-18, 32)",9.05
"(-18, 33)",7.45
"(-18, 34)",8.45
"(-18, 35)",6.72
"(-18, 36)",5.71
"(-18, 37)",6.48
"(-18, 38)",7.37
"(-18, 39)",8.88
"(-18, 40)",8.52
"(-18, 41)",9.27
"(-18, 42)",9.61
"(-18, 43)",10.36
"(-18, 44)",11.14
"(-18, 45)",11.58
"(-18, 46)",10.8
"(-18, 47)",9.98
"(-18, 48)",9.61
"(-18, 49)",7.51
"(-18, 50)",6.93
"(-18, 51)",4.68
"(-18, 52)",3.31
"(-18, 53)",2.75
"(-18, 54)",7.29
"(-18, 55)",9.42
"(-18, 56)",7.4
"(-18, 57)",6.15
"(-18, 58)",4.82
"(-18, 59)",5.29
"(-18, 60)",7.16
"(-18, 61)",9.03
"(-18, 62)",11.31
"(-18, 63)",11.53
"(-18, 64)",5.3
"(-18, 65)",6.12
"(-18, 66)",2.39
"(-18, 67)",10.14
"(-18, 68)",10.02
"(-18, 69)",5.38
"(-18, 70)",4.21
"(-18, 71)",2.94
"(-18, 72)",2.7
"(-17, 28)",1.02
"(-17, 29)",8.33
"(-17, 30)",7.83
"(-17, 31)",8.18
"(-17, 32)",7.97
"(-17, 33)",10.6
"(-17, 34)",8.63
"(-17, 35)",6.95
"(-17, 36)",7.48
"(-17, 37)",6.21
"(-17, 38)",6.49
"(-17, 39)",7.6
"(-17, 40)",7.74
"(-17, 41)",8
"(-17, 42)",8.99
"(-17, 43)",9.7
"(-17, 44)",10.29
"(-17, 45)",9.84
"(-17, 46)",9.04
"(-17, 47)",8.34
"(-17, 48)",7.15
"(-17, 49)",6.93
"(-17, 50)",4.55
"(-17, 51)",2.7
"(-17, 52)",2.69
"(-17, 53)",2.58
"(-17, 54)",8.34
"(-17, 55)",8.91
"(-17, 56)",6.82
"(-17, 57)",5.96
"(-17, 58)",8
"(-17, 59)",8.49
"(-17, 60)",7.25
"(-17, 61)",10.06
"(-17, 62)",10.41
"(-17, 63)",8.49
"(-17, 64)",1.51
"(-17, 65)",3.37
"(-17, 66)",1.41
"(-17, 67)",2.89
"(-17, 68)",11.14
"(-17, 69)",5.5
"(-17, 70)",4.18
"(-17, 71)",3.13
"(-17, 72)",3.02
"(-16, 28)",9.98
"(-16, 29)",6.66
"(-16, 30)",7.71
"(-16, 31)",7.69
"(-16, 32)",7.14
"(-16, 33)",8.29
"(-16, 34)",8.18
"(-16, 35)",7.23
"(-16, 36)",8.2
"(-16, 37)",6.6
"(-16, 38)",6.15
"(-16, 39)",6.87
"(-16, 40)",7.76
"(-16, 41)",8.27
"(-16, 42)",8.56
"(-16, 43)",8.7
"(-16, 44)",8.29
"(-16, 45)",7.55
"(-16, 46)",7.49
"(-16, 47)",6.61
"(-16, 48)",5.87
"(-16, 49)",4.81
"(-16, 50)",2.36
"(-16, 51)",3.64
"(-16, 52)",1.62
"(-16, 53)",1.18
"(-16, 54)",7.1
"(-16, 55)",8.53
"(-16, 56)",6.35
"(-16, 57)",5.24
"(-16, 58)",5.91
"(-16, 59)",9.06
"(-16, 60)",12.95
"(-16, 61)",14.13
"(-16, 62)",13.6
"(-16, 63)",17.74
"(-16, 64)",14.01
"(-16, 65)",6.61
"(-16, 66)",2.09
"(-16, 67)",3.86
"(-16, 68)",11.76
"(-16, 69)",6.04
"(-16, 70)",4.2
"(-16, 71)",3.3
"(-16, 72)",3.29
"(-15, 28)",7.63
"(-15, 29)",7.88
"(-15, 30)",7.63
"(-15, 31)",8.18
"(-15, 32)",8.19
"(-15, 33)",9.57
"(-15, 34)",10.41
"(-15, 35)",9.42
"(-15, 36)",8.24
"(-15, 37)",7.39
"(-15, 38)",5.91
"(-15, 39)",5.66
"(-15, 40)",6.08
"(-15, 41)",7.42
"(-15, 42)",7.32
"(-15, 43)",7
"(-15, 44)",6.24
"(-15, 45)",5.97
"(-15, 46)",5.71
"(-15, 47)",4.93
"(-15, 48)",4.13
"(-15, 49)",2.32
"(-15, 50)",1.81
"(-15, 51)",4.17
"(-15, 52)",1.56
"(-15, 53)",1.87
"(-15, 54)",8.44
"(-15, 55)",7.93
"(-15, 56)",5.52
"(-15, 57)",4.74
"(-15, 58)",4.45
"(-15, 59)",7.28
"(-15, 60)",10.44
"(-15, 61)",12.45
"(-15, 62)",15.33
"(-15, 63)",15.05
"(-15, 64)",11.12
"(-15, 65)",2.6
"(-15, 66)",1.32
"(-15, 67)",2.79
"(-15, 68)",9.19
"(-15, 69)",6.92
"(-15, 70)",4.48
"(-15, 71)",3.72
"(-15, 72)",3.6
"(-14, 28)",7.5
"(-14, 29)",8.82
"(-14, 30)",8.54
"(-14, 31)",8.85
"(-14, 32)",9
"(-14, 33)",9
"(-14, 34)",7.79
"(-14, 35)",7.05
"(-14, 36)",7.43
"(-14, 37)",7
"(-14, 38)",6.24
"(-14, 39)",5.42
"(-14, 40)",5.14
"(-14, 41)",5.2
"(-14, 42)",5.8
"(-14, 43)",4.96
"(-14, 44)",4.65
"(-14, 45)",4.35
"(-14, 46)",4.12
"(-14, 47)",2.65
"(-14, 48)",1.59
"(-14, 49)",2.1
"(-14, 50)",4.01
"(-14, 51)",4.42
"(-14, 52)",1.03
"(-14, 53)",2.16
"(-14, 54)",9.22
"(-14, 55)",7.14
"(-14, 56)",6.36
"(-14, 57)",4.47
"(-14, 58)",3.2
"(-14, 59)",4.69
"(-14, 60)",7.46
"(-14, 61)",10.26
"(-14, 62)",12.02
"(-14, 63)",11.57
"(-14, 64)",9.05
"(-14, 65)",1.96
"(-14, 66)",5.42
"(-14, 67)",1.03
"(-14, 68)",4.72
"(-14, 69)",6.47
"(-14, 70)",5.07
"(-14, 71)",4.14
"(-14, 72)",4.32
"(-13, 28)",7.01
"(-13, 29)",8.7
"(-13, 30)",10.2
"(-13, 31)",9.78
"(-13, 32)",9.27
"(-13, 33)",8.48
"(-13, 34)",8.53
"(-13, 35)",7.96
"(-13, 36)",6.51
"(-13, 37)",4.1
"(-13, 38)",3.81
"(-13, 39)",4.03
"(-13, 40)",4.32
"(-13, 41)",3.72
"(-13, 42)",3.66
"(-13, 43)",3.15
"(-13, 44)",2.92
"(-13, 45)",2.89
"(-13, 46)",2.36
"(-13, 47)",1.57
"(-13, 48)",1.69
"(-13, 49)",3.38
"(-13, 50)",5.5
"(-13, 51)",2.51
"(-13, 52)",1
"(-13, 53)",3.42
"(-13, 54)",7.39
"(-13, 55)",6.17
"(-13, 56)",6.25
"(-13, 57)",4.33
"(-13, 58)",1.71
"(-13, 59)",1.98
"(-13, 60)",4.6
"(-13, 61)",6.54
"(-13, 62)",8.15
"(-13, 63)",8.7
"(-13, 64)",7.45
"(-13, 65)",2.46
"(-13, 66)",3.58
"(-13, 67)",0.27
"(-13, 68)",4.74
"(-13, 69)",6.11
"(-13, 70)",7.15
"(-13, 71)",4.65
"(-13, 72)",4.46
"(-12, 28)",5.01
"(-12, 29)",7.89
"(-12, 30)",10.3
"(-12, 31)",10.57
"(-12, 32)",10.06
"(-12, 33)",9.47
"(-12, 34)",8.91
"(-12, 35)",7.51
"(-12, 36)",6.18
"(-12, 37)",5.25
"(-12, 38)",4.69
"(-12, 39)",3.94
"(-12, 40)",3.5
"(-12, 41)",1.81
"(-12, 42)",1.92
"(-12, 43)",1.22
"(-12, 44)",1.16
"(-12, 45)",1.11
"(-12, 46)",1.93
"(-12, 47)",2.36
"(-12, 48)",3.69
"(-12, 49)",5.15
"(-12, 50)",6.95
"(-12, 51)",3.01
"(-12, 52)",2.9
"(-12, 53)",6.47
"(-12, 54)",8.18
"(-12, 55)",6.49
"(-12, 56)",5.89
"(-12, 57)",3.91
"(-12, 58)",2.3
"(-12, 59)",1.01
"(-12, 60)",1.18
"(-12, 61)",3.35
"(-12, 62)",5.35
"(-12, 63)",6.59
"(-12, 64)",5.28
"(-12, 65)",2.69
"(-12, 66)",2.67
"(-12, 67)",2.57
"(-12, 68)",4.02
"(-12, 69)",5.91
"(-12, 70)",6.99
"(-12, 71)",5.29
"(-12, 72)",4.62
"(-11, 28)",4.19
"(-11, 29)",3.65
"(-11, 30)",8.03
"(-11, 31)",11.04
"(-11, 32)",10.53
"(-11, 33)",10.1
"(-11, 34)",8.93
"(-11, 35)",7.83
"(-11, 36)",6.99
"(-11, 37)",6.81
"(-11, 38)",6.07
"(-11, 39)",5.07
"(-11, 40)",3.75
"(-11, 41)",2.39
"(-11, 42)",1.96
"(-11, 43)",0.64
"(-11, 44)",0.93
"(-11, 45)",2.14
"(-11, 46)",3.27
"(-11, 47)",4.69
"(-11, 48)",5.27
"(-11, 49)",7.13
"(-11, 50)",5.91
"(-11, 51)",3.8
"(-11, 52)",3.34
"(-11, 53)",4.7
"(-11, 54)",9.3
"(-11, 55)",7.66
"(-11, 56)",5.79
"(-11, 57)",4.41
"(-11, 58)",3.25
"(-11, 59)",2.63
"(-11, 60)",1.29
"(-11, 61)",1.09
"(-11, 62)",3.4
"(-11, 63)",3.66
"(-11, 64)",3.53
"(-11, 65)",2.66
"(-11, 66)",0.41
"(-11, 67)",3.99
"(-11, 68)",4.86
"(-11, 69)",5.71
"(-11, 70)",6.82
"(-11, 71)",6.75
"(-11, 72)",5.23
"(-10, 28)",2.65
"(-10, 29)",2.78
"(-10, 30)",1.01
"(-10, 31)",9.22
"(-10, 32)",11.62
"(-10, 33)",9.96
"(-10, 34)",9.22
"(-10, 35)",8.23
"(-10, 36)",8.07
"(-10, 37)",8.36
"(-10, 38)",8.47
"(-10, 39)",7.23
"(-10, 40)",6.42
"(-10, 41)",5.03
"(-10, 42)",3.78
"(-10, 43)",2.19
"(-10, 44)",2.11
"(-10, 45)",3.64
"(-10, 46)",5.77
"(-10, 47)",5.69
"(-10, 48)",6.77
"(-10, 49)",6.8
"(-10, 50)",4.63
"(-10, 51)",5.2
"(-10, 52)",1.58
"(-10, 53)",5.88
"(-10, 54)",5.79
"(-10, 55)",6.79
"(-10, 56)",6.33
"(-10, 57)",5.45
"(-10, 58)",4.4
"(-10, 59)",3.86
"(-10, 60)",2.68
"(-10, 61)",1.38
"(-10, 62)",0.1
"(-10, 63)",1.29
"(-10, 64)",1.67
"(-10, 65)",1.16
"(-10, 66)",0.85
"(-10, 67)",3.69
"(-10, 68)",5.61
"(-10, 69)",6.01
"(-10, 70)",6.61
"(-10, 71)",5.99
"(-10, 72)",6.03
"(-9, 28)",3.56
"(-9, 29)",1.4
"(-9, 30)",0.9
"(-9, 31)",4.49
"(-9, 32)",5.53
"(-9, 33)",9.03
"(-9, 34)",8.45
"(-9, 35)",7.58
"(-9, 36)",9.03
"(-9, 37)",8.9
"(-9, 38)",6.89
"(-9, 39)",3.41
"(-9, 40)",8.14
"(-9, 41)",8.13
"(-9, 42)",5.92
"(-9, 43)",0.8
"(-9, 44)",3.38
"(-9, 45)",5.49
"(-9, 46)",6.67
"(-9, 47)",7.7
"(-9, 48)",8.15
"(-9, 49)",6.85
"(-9, 50)",5.61
"(-9, 51)",7.46
"(-9, 52)",1.44
"(-9, 53)",2.14
"(-9, 54)",2.2
"(-9, 55)",8.23
"(-9, 56)",7.34
"(-9, 57)",6.58
"(-9, 58)",5.25
"(-9, 59)",4.47
"(-9, 60)",3.72
"(-9, 61)",2.94
"(-9, 62)",1.39
"(-9, 63)",0.98
"(-9, 64)",1.13
"(-9, 65)",1.33
"(-9, 66)",2.59
"(-9, 67)",4.15
"(-9, 68)",6.02
"(-9, 69)",6.45
"(-9, 70)",7.05
"(-9, 71)",6.05
"(-9, 72)",8.12
"(-8, 28)",3.34
"(-8, 29)",1.6
"(-8, 30)",2.27
"(-8, 31)",3.97
"(-8, 32)",7.08
"(-8, 33)",5.78
"(-8, 34)",6.68
"(-8, 35)",7.16
"(-8, 36)",7.17
"(-8, 37)",3.09
"(-8, 38)",3.6
